City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,colonia,50.9333,6.95,296.46,57,0,2.57,DE,1691160333
265,codrington,-38.2667,141.9667,282.81,65,93,6.83,AU,1691159920
266,pacific grove,36.6177,-121.9166,288.27,94,100,2.57,US,1691160335
267,ghadamis,30.1337,9.5007,316.64,7,0,2.55,LY,1691159919
268,tucumcari,35.1717,-103.725,294.06,64,0,5.14,US,1691160336
269,arno,60.1167,18.6333,289.7,87,99,4.81,SE,1691160336
270,erenhot,43.6475,111.9767,299.09,42,0,6.63,CN,1691160337
271,harstad,68.799,16.5293,290.46,81,55,8.49,NO,1691160337
272,kosh-agach,50.0,88.6667,285.73,79,96,0.8,RU,1691160338
273,choyr,46.3611,108.3611,291.62,64,57,7.0,MN,1691160338
274,altai,46.3722,96.2583,291.08,47,39,1.14,MN,1691160339
275,ola,59.5833,151.2833,287.41,70,100,2.79,RU,1691159958
276,miyaly,48.8844,53.7836,306.96,24,77,3.01,KZ,1691160340
277,hadibu,12.65,54.0333,300.29,68,99,8.89,YE,1691160340
278,jumla,29.2747,82.1838,291.73,96,99,1.27,NP,1691160341
279,dakhla,23.6848,-15.958,298.16,65,14,12.35,EH,1691160341
280,jiuquan,39.7432,98.5174,302.79,17,100,3.3,CN,1691160343
281,ongjin,37.9347,125.3619,298.04,91,99,0.59,KP,1691160343
282,hartford,41.7668,-72.7662,297.02,80,100,4.12,US,1691160344
283,palikir - national government center,6.9248,158.1611,297.56,94,75,0.0,FM,1691160345
284,brazzaville,-4.2658,15.2832,303.35,51,11,3.09,CG,1691160130
285,mata-utu,-13.2816,-176.1745,300.91,73,62,8.2,WF,1691160025
286,sur,22.5667,59.5289,305.71,62,100,0.88,OM,1691160346
287,wotho,10.1657,166.0102,301.16,79,95,6.07,MH,1691160347
288,vilyuysk,63.7553,121.6247,290.92,61,100,3.52,RU,1691160349
289,newman,37.3138,-121.0208,290.51,82,0,0.45,US,1691159745
290,punta arenas,-53.15,-70.9167,274.33,69,70,8.62,CL,1691160350
291,sao joao da barra,-21.6403,-41.0511,298.2,62,1,4.37,BR,1691159855
292,labrador city,52.9463,-66.9114,285.1,100,100,4.12,CA,1691159788
293,maitum,6.0392,124.4986,299.53,85,13,0.93,PH,1691159944
294,kangding,30.0513,101.9603,290.5,98,100,0.93,CN,1691160352
295,salinopolis,-0.6136,-47.3561,301.57,75,33,4.64,BR,1691160129
296,sarkand,45.41,79.9186,297.23,27,1,1.93,KZ,1691160353
297,qarazhal,48.0078,70.7903,303.74,24,98,5.9,KZ,1691160353
298,myeik,12.4333,98.6,299.31,89,100,3.95,MM,1691160354
299,itamaraca,-7.7478,-34.8256,301.18,60,33,5.33,BR,1691160354
300,lukolela,-1.0605,17.1821,304.0,43,76,1.16,CD,1691160355
301,anloga,5.7947,0.8973,298.88,81,42,7.32,GH,1691160357
302,santiago suchilquitongo,17.25,-96.8833,289.83,81,100,2.01,MX,1691160357
303,labytnangi,66.6572,66.4183,298.72,57,13,3.15,RU,1691160358
304,rancho palos verdes,33.7445,-118.387,293.72,91,22,2.68,US,1691160074
305,bonyhad,46.2992,18.5302,302.62,50,2,2.61,HU,1691160359
306,novyy urgal,51.0736,132.5642,286.4,70,100,0.75,RU,1691160359
307,morinville,53.8001,-113.652,290.81,83,0,2.06,CA,1691160360
308,santo antonio do leverger,-15.8656,-56.0767,305.36,16,1,1.71,BR,1691160296
309,sinazongwe,-17.2614,27.4618,295.82,40,5,3.22,ZM,1691160361
310,new plymouth,-39.0667,174.0833,281.1,77,71,2.88,NZ,1691160362
311,el calafate,-50.3408,-72.2768,274.78,71,1,5.98,AR,1691160018
312,nicoya,10.1483,-85.452,301.61,73,3,3.61,CR,1691160017
313,katsuura,35.1333,140.3,300.1,85,0,8.23,JP,1691160365
314,chhor,25.5167,69.7667,306.78,53,49,9.78,PK,1691160365
315,felipe carrillo puerto,19.5833,-88.05,305.92,53,32,2.22,MX,1691160366
316,malyn,50.7723,29.2383,303.51,43,84,2.64,UA,1691160367
317,iskateley,67.6803,53.1512,300.92,54,50,3.17,RU,1691159950
318,gilgit,35.9221,74.3087,304.34,43,82,1.42,PK,1691160369
319,nanao,37.05,136.9667,301.66,90,4,1.01,JP,1691160370
320,al kharijah,25.4514,30.5464,314.65,10,0,6.54,EG,1691159848
321,daru,-9.0763,143.2092,297.98,74,14,6.44,PG,1691160371
322,pariaman,-0.619,100.12,298.18,90,68,1.85,ID,1691160372
323,salida,37.7058,-121.0849,291.1,84,0,2.57,US,1691160319
324,santa isabel,-23.3156,-46.2214,294.57,33,0,1.68,BR,1691160373
325,page,36.9147,-111.4558,297.1,47,0,0.45,US,1691159905
326,gillette,44.2911,-105.5022,290.4,93,100,3.6,US,1691160374
327,kununurra,-15.7667,128.7333,296.14,68,100,0.0,AU,1691159604
328,antsiranana,-12.2787,49.2917,298.57,61,40,9.26,MG,1691160375
329,wladyslawowo,54.7909,18.4009,294.23,70,65,4.94,PL,1691160375
330,vorkuta,67.5,64.0,298.81,57,11,2.18,RU,1691160376
331,kill devil hills,36.0307,-75.676,298.15,90,100,5.14,US,1691160376
332,cukai,4.25,103.4167,301.12,87,10,2.36,MY,1691160377
333,bandarbeyla,9.4942,50.8122,298.32,78,100,14.02,SO,1691160378
334,kone,-21.0595,164.8658,289.59,88,13,1.79,NC,1691160378
335,pangkalanbuun,-2.6833,111.6167,297.63,86,2,1.79,ID,1691160379
336,tsiombe,-25.3,45.4833,293.57,56,0,8.13,MG,1691160379
337,tangalle,6.024,80.7911,303.24,83,67,5.87,LK,1691160380
338,atafu village,-8.5421,-172.5159,301.15,70,100,3.4,TK,1691160380
339,torrington,41.8007,-73.1212,296.31,87,26,5.09,US,1691160381
340,lionel town,17.8101,-77.2406,304.09,53,26,2.17,JM,1691160383
341,antalaha,-14.9003,50.2788,295.31,83,25,6.01,MG,1691160384
342,pangkalpinang,-2.1333,106.1333,299.8,79,20,4.52,ID,1691160384
343,kapa'a,22.0752,-159.319,299.33,77,20,6.17,US,1691160100
344,ixtapa,20.7,-105.2,298.83,94,100,2.57,MX,1691160010
345,clarksdale,34.2001,-90.5709,304.14,79,23,4.12,US,1691160386
346,pandan,14.0453,124.1694,300.86,83,100,4.25,PH,1691160387
347,castro de rei,42.7167,-7.5667,296.52,28,0,4.28,ES,1691160387
348,kupang,-10.1667,123.5833,297.55,82,11,5.57,ID,1691160388
349,acarau,-2.8856,-40.12,304.45,51,7,6.57,BR,1691160223
350,sen monorom,12.45,107.2,294.6,91,100,2.6,KH,1691160390
351,decorah,43.3033,-91.7857,299.66,83,0,1.54,US,1691160196
352,guben,51.9499,14.7145,297.64,48,100,2.36,DE,1691160390
353,vernon,50.2581,-119.2691,288.89,51,0,2.06,CA,1691160149
354,dompu,-8.5356,118.4622,295.51,96,78,0.7,ID,1691160391
355,shannon,52.7039,-8.8642,289.34,67,75,2.57,IE,1691160393
356,dudinka,69.4058,86.1778,292.94,55,55,4.34,RU,1691160393
357,sarangani,5.4033,125.4636,301.68,76,16,3.35,PH,1691160394
358,utete,-7.986,38.758,299.92,53,43,5.07,TZ,1691160394
359,colonel hill,22.7667,-74.2167,302.15,73,1,4.87,BS,1691160395
360,sodankyla,67.4167,26.6,291.61,91,100,3.01,FI,1691160396
